Switch Number,Param Count
0,135426
1,271622
2,271622
3,410128
4,410128
5,550174
6,550174
7,691760
8,691760
9,834886
10,834886
11,979552
12,979552
13,1125758
14,1125758
15,1273504
16,1273504
17,1422790
18,1422790
19,1573616
20,1573616
21,1725982
22,1725982
23,1879888
24,1879888
25,2035334
26,2035334
27,2192320
28,2192320
29,2350846
30,2350846
31,2510912
32,2510912
33,2672518
34,2672518
35,2835664
36,2835664
37,3000350
38,3000350
39,3166576
40,3166576
41,3334342
42,3334342
43,3503648
44,3503648
45,3674494
46,3674494
47,3846880
48,3846880
49,4020806
50,4020806
51,4196272
52,4196272
53,4373278
54,4373278
55,4551824
56,4551824
57,4731910
58,4731910
59,4913536
60,4913536
61,5096702
62,5096702
63,5281408
64,5281408
65,5467654
66,5467654
67,5655440
68,5655440
69,5844766
70,5844766
71,6035632
72,6035632
73,6228038
74,6228038
75,6421984
76,6421984
77,6617470
78,6617470
79,6814496
80,6814496
81,7013062
82,7013062
83,7213168
84,7213168
85,7414814
86,7414814
87,7618000
88,7618000
89,7822726
90,7822726
91,8028992
92,8028992
93,8236798
94,8236798
95,8446144
96,8446144
97,8657030
98,8657030
99,8869456
100,8869456
101,9083422
102,9083422
103,9298928
104,9298928
105,9515974
106,9515974
107,9734560
108,9734560
109,9954686
110,9954686
111,10176352
112,10176352
113,10399558
114,10399558
115,10624304
116,10624304
117,10850590
118,10850590
119,11078416
120,11078416
121,11307782
122,11307782
123,11538688
124,11538688
125,11771134
126,11771134
127,12005120
128,12005120
129,12240646
130,12240646
131,12477712
132,12477712
133,12716318
134,12716318
135,12956464
136,12956464
137,13198150
138,13198150
139,13441376
140,13441376
141,13686142
142,13686142
143,13932448
144,13932448
145,14180294
146,14180294
