Epochs,Validation Scores,Validation Running Scores
0,0.16209446564885496,
1,0.3074904580152672,
2,0.4079794847328244,
3,0.4906965648854962,
4,0.4933802480916031,
5,0.5221552958015268,
6,0.5713561545801527,
7,0.581643606870229,
8,0.6065124045801527,
9,0.6364802003816794,
10,0.6361223759541985,
11,0.6561605438931297,
12,0.6642115935114504,
13,0.6768845419847328,
14,0.683206106870229,
15,0.6871421755725191,
16,0.6916447996183206,
17,0.6928077290076335,
18,0.6934637404580153,
19,0.6940601145038168,
20,0.6412213740458015,
21,0.6468571087786259,
22,0.6640028625954199,
23,0.6596195133587787,
24,0.6808206106870229,
25,0.6774212786259542,
26,0.6734852099236641,
27,0.6834148377862596,
28,0.6844584923664122,
29,0.6959088740458015,
30,0.6887225667938931,
31,0.7016638835877863,
32,0.6702051526717557,
33,0.6614980916030534,
34,0.6759005248091603,
35,0.6850846851145038,
36,0.6862177958015268,
37,0.6821326335877863,
38,0.6789718511450382,
39,0.6748866889312977,
40,0.6887822041984732,
41,0.683981393129771,
42,0.6945670324427481,
43,0.6900942270992366,
44,0.6957597805343512,
45,0.6928077290076335,
46,0.6958194179389313,
47,0.6961176049618321,
48,0.6985329198473282,
49,0.6978470896946565,
50,0.6968928912213741,
51,0.6972208969465649,
52,0.6967736164122137,
53,0.6970718034351145,
54,0.6965947041984732,
55,0.6941793893129771,
56,0.6893189408396947,
57,0.6932848282442748,
58,0.684011211832061,
0,,0.16209446564885496
1,,0.3074904580152672
2,,0.4079794847328244
3,,0.4906965648854962
4,,0.4933802480916031
5,,0.5221552958015268
6,,0.5713561545801527
7,,0.581643606870229
8,,0.6065124045801527
9,,0.6364802003816794
10,,0.6361223759541985
11,,0.6561605438931297
12,,0.6642115935114504
13,,0.6768845419847328
14,,0.683206106870229
15,,0.6871421755725191
16,,0.6916447996183206
17,,0.6928077290076335
18,,0.6934637404580153
19,,0.6940601145038168
20,,0.6412213740458015
21,,0.6468571087786259
22,,0.6640028625954199
23,,0.6596195133587787
24,,0.6808206106870229
25,,0.6774212786259542
26,,0.6734852099236641
27,,0.6834148377862596
28,,0.6844584923664122
29,,0.6959088740458015
30,,0.6887225667938931
31,,0.7016638835877863
32,,0.6702051526717557
33,,0.6614980916030534
34,,0.6759005248091603
35,,0.6850846851145038
36,,0.6862177958015268
37,,0.6821326335877863
38,,0.6789718511450382
39,,0.6748866889312977
40,,0.6887822041984732
41,,0.683981393129771
42,,0.6945670324427481
43,,0.6900942270992366
44,,0.6957597805343512
45,,0.6928077290076335
46,,0.6958194179389313
47,,0.6961176049618321
48,,0.6985329198473282
49,,0.6978470896946565
50,,0.6968928912213741
51,,0.6972208969465649
52,,0.6967736164122137
53,,0.6970718034351145
54,,0.6965947041984732
55,,0.6941793893129771
56,,0.6893189408396947
57,,0.6932848282442748
58,,0.684011211832061
